actor_clean,actor_family,is_moex,active_pending_count,late_pending_count,holder_count,single_holder_count,multi_holder_involvement,hard_conflict_involvement,avg_delay_days,backlog_share
0-BET Structure,bet,False,8,8,8,4,4,23,341.125,0.004953560371517028
0-Bureau de Contrôle,bdc,False,1372,1283,1372,312,1060,91,217.49415432579892,0.8495356037151702
0-AMO HQE,amo,False,91,46,91,0,91,9,10.521739130434783,0.056346749226006194
0-BET Géotech,bet,False,0,0,0,0,0,0,,0.0
0-ARCHITECTE,archi,False,80,59,80,1,79,46,42.3728813559322,0.04953560371517028
0-BET Acoustique,bet,False,231,201,231,56,175,6,234.4278606965174,0.14303405572755418
0-Maître d'Oeuvre EXE,moe,True,220,182,220,24,196,48,123.13186813186813,0.13622291021671826
0-BET POL,bet,False,0,0,0,0,0,0,,0.0
0-BET CVC,bet,False,6,3,6,0,6,1,73.33333333333333,0.0037151702786377707
0-CSPS,csps,False,4,4,4,2,2,0,403.5,0.002476780185758514
0-BET Plomberie,bet,False,0,0,0,0,0,7,,0.0
A-AMO HQE,amo,False,54,34,54,0,54,8,14.0,0.03343653250773994
A-BET Plomberie,bet,False,0,0,0,0,0,3,,0.0
B-AMO HQE,amo,False,38,31,38,0,38,58,17.0,0.023529411764705882
B-BET Plomberie,bet,False,0,0,0,0,0,10,,0.0
H-AMO HQE,amo,False,25,22,25,0,25,21,19.772727272727273,0.015479876160990712
H-BET Plomberie,bet,False,0,0,0,0,0,5,,0.0
A-ARCHITECTE,archi,False,18,4,18,0,18,29,33.75,0.011145510835913313
A-BET Acoustique,bet,False,79,79,79,13,66,1,139.83544303797467,0.04891640866873065
A-Maître d'Oeuvre EXE,moe,True,215,200,215,2,213,9,210.08,0.13312693498452013
0-BET Electricité,bet,False,30,8,30,0,30,19,7.0,0.018575851393188854
B-ARCHITECTE,archi,False,81,76,81,6,75,59,78.32894736842105,0.05015479876160991
B-BET Acoustique,bet,False,238,233,238,3,235,12,140.2961373390558,0.14736842105263157
B-BET CVC,bet,False,6,4,6,0,6,6,76.25,0.0037151702786377707
B-Maître d'Oeuvre EXE,moe,True,316,312,316,1,315,17,150.0801282051282,0.1956656346749226
A-BET CVC,bet,False,5,3,5,1,4,0,82.66666666666667,0.0030959752321981426
H-BET Acoustique,bet,False,125,125,125,1,124,3,223.88,0.07739938080495357
H-BET CVC,bet,False,7,5,7,0,7,0,61.2,0.0043343653250774
H-Maître d'Oeuvre EXE,moe,True,241,240,241,2,239,13,261.48333333333335,0.14922600619195048
H-ARCHITECTE,archi,False,3,3,3,0,3,34,87.0,0.0018575851393188853
0-SAS,special,False,0,0,0,0,0,0,,0.0
H-BET Electricité,bet,False,29,29,29,10,19,14,140.72413793103448,0.017956656346749224
0-BET Ascenseur,bet,False,0,0,0,0,0,0,,0.0
B-BET Ascenseur,bet,False,0,0,0,0,0,0,,0.0
A-BET Ascenseur,bet,False,1,1,1,0,1,0,159.0,0.0006191950464396285
H-BET Ascenseur,bet,False,1,1,1,0,1,0,159.0,0.0006191950464396285
0-BET SPK,bet,False,5,4,5,0,5,4,55.75,0.0030959752321981426
A-BET Electricité,bet,False,21,19,21,13,8,9,70.57894736842105,0.013003095975232198
B-BET Electricité,bet,False,11,10,11,0,11,44,7.0,0.006811145510835914
B-BET Façade,bet,False,1,0,1,0,1,12,,0.0006191950464396285
A-BET Façade,bet,False,14,0,14,0,14,11,,0.0086687306501548
H-BET Façade,bet,False,0,0,0,0,0,11,,0.0
B-BET Structure,bet,False,0,0,0,0,0,8,,0.0
B13-Métallerie Serrurerie,enterprise,False,20,20,20,0,20,0,289.1,0.01238390092879257
0-BET VRD,bet,False,31,31,31,0,31,0,204.51612903225808,0.019195046439628483
0-BET EV,bet,False,5,5,5,0,5,2,6.0,0.0030959752321981426
A-BET Structure,bet,False,15,0,15,0,15,2,,0.009287925696594427
H51-Ascenseur,enterprise,False,42,41,42,0,42,0,84.82926829268293,0.026006191950464396
H-BET Structure,bet,False,1,1,1,0,1,0,10.0,0.0006191950464396285
