emetteur,total_submittals,fully_responded,pending_submittals,rejected_submittals,hard_conflict_submittals,held_at_moex,held_externally,avg_completion_ratio,ref_count,def_count,blocking_response_count,problem_submittal_count,backlog_count,late_backlog_count,approval_quality_distribution,approval_quality_score
FKI,11,11,0,1,0,0,0,1.0,1,0,1,2,0,0,"{""clean"": 0, ""with_reservations"": 10, ""blocked"": 1, ""pending"": 0, ""mixed"": 0}",3.727272727272727
VTP,11,9,2,4,3,1,1,0.8939393939393938,2,3,4,7,2,2,"{""clean"": 3, ""with_reservations"": 2, ""blocked"": 4, ""pending"": 2, ""mixed"": 0}",2.8181818181818183
LGD,58,6,52,1,17,48,4,0.36034482758620695,18,1,18,53,52,36,"{""clean"": 4, ""with_reservations"": 1, ""blocked"": 18, ""pending"": 34, ""mixed"": 1}",1.9482758620689655
AXI,116,26,90,1,5,25,65,0.6110632183908047,6,0,6,90,90,81,"{""clean"": 0, ""with_reservations"": 25, ""blocked"": 5, ""pending"": 55, ""mixed"": 31}",2.6551724137931036
UTB,173,62,110,18,25,107,3,0.6956395348837219,32,0,32,128,110,110,"{""clean"": 39, ""with_reservations"": 5, ""blocked"": 28, ""pending"": 78, ""mixed"": 23}",2.7052023121387285
BEN,235,67,167,55,64,135,32,0.5747150997150998,127,0,127,218,167,149,"{""clean"": 11, ""with_reservations"": 1, ""blocked"": 102, ""pending"": 88, ""mixed"": 33}",1.8553191489361702
SNI,221,5,216,3,25,181,35,0.5331825037707398,27,2,29,219,216,214,"{""clean"": 0, ""with_reservations"": 2, ""blocked"": 27, ""pending"": 126, ""mixed"": 66}",2.1945701357466065
SCH,8,0,8,0,0,3,5,0.3625,0,0,0,8,8,8,"{""clean"": 0, ""with_reservations"": 0, ""blocked"": 0, ""pending"": 8, ""mixed"": 0}",2.0
API,24,1,23,0,0,23,0,0.576388888888889,2,0,2,23,23,23,"{""clean"": 1, ""with_reservations"": 0, ""blocked"": 0, ""pending"": 20, ""mixed"": 3}",2.25
AAI,41,0,41,0,4,5,36,0.6186991869918701,4,0,4,41,41,40,"{""clean"": 0, ""with_reservations"": 0, ""blocked"": 4, ""pending"": 4, ""mixed"": 33}",2.707317073170732
SMA,39,0,39,0,8,38,1,0.3333333333333333,9,0,9,39,39,38,"{""clean"": 0, ""with_reservations"": 0, ""blocked"": 8, ""pending"": 28, ""mixed"": 3}",1.8717948717948718
DUV,110,3,107,3,10,101,6,0.2619696969696967,13,0,13,110,107,107,"{""clean"": 0, ""with_reservations"": 0, ""blocked"": 10, ""pending"": 93, ""mixed"": 7}",1.9727272727272727
CRE,8,0,8,0,0,6,2,0.31666666666666665,0,0,0,8,8,8,"{""clean"": 0, ""with_reservations"": 0, ""blocked"": 0, ""pending"": 6, ""mixed"": 2}",2.25
ICM,47,0,47,0,6,47,0,0.4964539007092195,7,0,7,47,47,47,"{""clean"": 0, ""with_reservations"": 0, ""blocked"": 6, ""pending"": 34, ""mixed"": 7}",2.021276595744681
SPA,30,0,30,0,6,11,19,0.31833333333333347,6,0,6,30,30,30,"{""clean"": 0, ""with_reservations"": 0, ""blocked"": 6, ""pending"": 22, ""mixed"": 2}",1.8666666666666667
BAN,12,0,12,0,0,12,0,0.45416666666666666,0,0,0,12,12,12,"{""clean"": 0, ""with_reservations"": 0, ""blocked"": 0, ""pending"": 9, ""mixed"": 3}",2.25
